料號,製程,機台,檢驗項目,檢驗項目名稱,上限,下限,測量值,日期,作業員,lot,樣本編號,工單
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.95,2026-05-25 08:00:00,OP-A,LOT-001,1,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.02,2026-05-25 08:00:05,OP-A,LOT-001,2,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.98,2026-05-25 08:00:10,OP-A,LOT-001,3,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.10,2026-05-25 08:15:00,OP-A,LOT-002,1,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.85,2026-05-25 08:15:05,OP-A,LOT-002,2,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.90,2026-05-25 08:15:10,OP-A,LOT-002,3,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.05,2026-05-25 08:30:00,OP-A,LOT-003,1,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.12,2026-05-25 08:30:05,OP-A,LOT-003,2,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.08,2026-05-25 08:30:10,OP-A,LOT-003,3,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.88,2026-05-25 08:45:00,OP-B,LOT-004,1,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.92,2026-05-25 08:45:05,OP-B,LOT-004,2,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.96,2026-05-25 08:45:10,OP-B,LOT-004,3,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.15,2026-05-25 09:00:00,OP-B,LOT-005,1,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.03,2026-05-25 09:00:05,OP-B,LOT-005,2,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.97,2026-05-25 09:00:10,OP-B,LOT-005,3,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.82,2026-05-25 09:15:00,OP-B,LOT-006,1,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.85,2026-05-25 09:15:05,OP-B,LOT-006,2,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.90,2026-05-25 09:15:10,OP-B,LOT-006,3,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.20,2026-05-25 09:30:00,OP-C,LOT-007,1,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.18,2026-05-25 09:30:05,OP-C,LOT-007,2,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.12,2026-05-25 09:30:10,OP-C,LOT-007,3,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.05,2026-05-25 09:45:00,OP-C,LOT-008,1,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.95,2026-05-25 09:45:05,OP-C,LOT-008,2,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.98,2026-05-25 09:45:10,OP-C,LOT-008,3,WO-001
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.78,2026-05-25 10:00:00,OP-C,LOT-009,1,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.82,2026-05-25 10:00:05,OP-C,LOT-009,2,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.88,2026-05-25 10:00:10,OP-C,LOT-009,3,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.01,2026-05-25 10:15:00,OP-A,LOT-010,1,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.05,2026-05-25 10:15:05,OP-A,LOT-010,2,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.09,2026-05-25 10:15:10,OP-A,LOT-010,3,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.25,2026-05-25 10:30:00,OP-A,LOT-011,1,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.18,2026-05-25 10:30:05,OP-A,LOT-011,2,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.22,2026-05-25 10:30:10,OP-A,LOT-011,3,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.92,2026-05-25 10:45:00,OP-A,LOT-012,1,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.90,2026-05-25 10:45:05,OP-A,LOT-012,2,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.95,2026-05-25 10:45:10,OP-A,LOT-012,3,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.88,2026-05-25 11:00:00,OP-B,LOT-013,1,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.85,2026-05-25 11:00:05,OP-B,LOT-013,2,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.91,2026-05-25 11:00:10,OP-B,LOT-013,3,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.65,2026-05-25 11:15:00,OP-B,LOT-014,1,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.45,2026-05-25 11:15:05,OP-B,LOT-014,2,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.58,2026-05-25 11:15:10,OP-B,LOT-014,3,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.01,2026-05-25 11:30:00,OP-C,LOT-015,1,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.98,2026-05-25 11:30:05,OP-C,LOT-015,2,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.05,2026-05-25 11:30:10,OP-C,LOT-015,3,WO-002
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.95,2026-05-25 11:45:00,OP-C,LOT-016,1,WO-003
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.92,2026-05-25 11:45:05,OP-C,LOT-016,2,WO-003
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.88,2026-05-25 11:45:10,OP-C,LOT-016,3,WO-003
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.15,2026-05-25 12:00:00,OP-A,LOT-017,1,WO-003
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.10,2026-05-25 12:00:05,OP-A,LOT-017,2,WO-003
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.18,2026-05-25 12:00:10,OP-A,LOT-017,3,WO-003
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.02,2026-05-25 12:15:00,OP-A,LOT-018,1,WO-003
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,4.98,2026-05-25 12:15:05,OP-A,LOT-018,2,WO-003
PART-PTQE,PT&QE,PTQE-M01,ETCH_AMT,咬蝕量,5.5,4.5,5.05,2026-05-25 12:15:10,OP-A,LOT-018,3,WO-003
