料號,製程,機台,檢驗項目,測量值,日期,作業員,批號,樣本編號,序號
P-1001,ST-01,M-01,LEN-001,10.01,2026-06-04 08:00:00,OP-01,L-DEMO-001,1,SN-DEMO-001
P-1001,ST-01,M-01,LEN-001,9.98,2026-06-04 08:10:00,OP-01,L-DEMO-001,2,SN-DEMO-002
P-1001,ST-01,M-01,LEN-001,10.04,2026-06-04 08:20:00,OP-01,L-DEMO-001,3,SN-DEMO-003
P-1001,ST-01,M-01,LEN-001,10.07,2026-06-04 08:30:00,OP-01,L-DEMO-001,4,SN-DEMO-004
P-1001,ST-01,M-01,LEN-001,9.96,2026-06-04 08:40:00,OP-01,L-DEMO-001,5,SN-DEMO-005
P-1001,ST-01,M-01,LEN-001,10.03,2026-06-04 09:00:00,OP-01,L-DEMO-002,1,SN-DEMO-006
P-1001,ST-01,M-01,LEN-001,10.06,2026-06-04 09:10:00,OP-01,L-DEMO-002,2,SN-DEMO-007
P-1001,ST-01,M-01,LEN-001,10.02,2026-06-04 09:20:00,OP-01,L-DEMO-002,3,SN-DEMO-008
P-1001,ST-01,M-01,LEN-001,9.99,2026-06-04 09:30:00,OP-01,L-DEMO-002,4,SN-DEMO-009
P-1001,ST-01,M-01,LEN-001,10.05,2026-06-04 09:40:00,OP-01,L-DEMO-002,5,SN-DEMO-010
P-1001,ST-01,M-01,LEN-001,10.09,2026-06-04 10:00:00,OP-02,L-DEMO-003,1,SN-DEMO-011
P-1001,ST-01,M-01,LEN-001,10.12,2026-06-04 10:10:00,OP-02,L-DEMO-003,2,SN-DEMO-012
P-1001,ST-01,M-01,LEN-001,10.08,2026-06-04 10:20:00,OP-02,L-DEMO-003,3,SN-DEMO-013
P-1001,ST-01,M-01,LEN-001,10.10,2026-06-04 10:30:00,OP-02,L-DEMO-003,4,SN-DEMO-014
P-1001,ST-01,M-01,LEN-001,10.26,2026-06-04 10:40:00,OP-02,L-DEMO-003,5,SN-DEMO-015
